Table 6,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,
"by Metropolitan Statistical Area, 2011",,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Forcible
rape",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
"Minneapolis-St. Paul-Bloomington, MN-WI M.S.A.2",,"3,304,725",,,,,,,,,
,"Includes Anoka, Carver, Chisago, Dakota, Hennepin, Isanti, Ramsey, Scott, Sherburne, Washington, and Wright Counties, MN2 and Pierce and St. Croix Counties, WI",,,,,,,,,,
,"City of Minneapolis, MN","385,531","3,722",32,386,"1,589","1,715","19,190","5,104","12,311","1,775"
,"City of St. Paul, MN","287,665","1,885",8,169,604,"1,104","11,932","3,197","6,890","1,845"
,"City of Bloomington, MN2","83,533",,0,,41,70,"3,151",251,"2,813",87
,"City of Plymouth, MN2","71,121",,0,,12,31,"1,212",276,908,28
,"City of Eagan, MN2","64,702",,0,,11,23,"1,512",185,"1,278",49
,"City of Eden Prairie, MN2","61,266",,0,,12,14,960,127,811,22
,"City of Minnetonka, MN2","50,118",,0,,11,13,910,154,725,31
,Total area actually reporting,99.9%,,59,,"2,997","4,634","93,940","17,189","70,600","6,151"
,Estimated total,100.0%,,59,,"2,998","4,636","94,005","17,198","70,653","6,154"
,"Rate per 100,000 inhabitants",,,1.8,,90.7,140.3,"2,844.6",520.4,"2,137.9",186.2
"Missoula, MT M.S.A.1",,"110,269", ,,,,, ,,,
,Includes Missoula County1,,,,,,,,,,
,City of Missoula1,"67,381",192,0,26,20,146,"2,415",299,"2,019",97
,Total area actually reporting,100.0%,276,1,38,26,211,"2,861",389,"2,346",126
,"Rate per 100,000 inhabitants",,250.3,0.9,34.5,23.6,191.4,"2,594.6",352.8,"2,127.5",114.3
"Mobile, AL M.S.A.1, 4",,"414,980", ,,,,, ,,,
,Includes Mobile County1,,,,,,,,,,
,"City of Mobile1, 4","251,869","1,619",30,48,637,904,"13,650","4,058","8,891",701
,Total area actually reporting,100.0%,"2,524",47,87,894,"1,496","19,948","6,149","12,518","1,281"
,"Rate per 100,000 inhabitants",,608.2,11.3,21.0,215.4,360.5,"4,807.0","1,481.8","3,016.5",308.7
"Modesto, CA M.S.A.",,"520,501", ,,,,, ,,,
,Includes Stanislaus County,,,,,,,,,,
,City of Modesto,"203,530","1,413",14,67,425,907,"8,894","2,121","5,410","1,363"
,Total area actually reporting,100.0%,"2,484",34,117,702,"1,631","19,187","5,346","10,620","3,221"
,"Rate per 100,000 inhabitants",,477.2,6.5,22.5,134.9,313.4,"3,686.3","1,027.1","2,040.3",618.8
"Monroe, LA M.S.A.",,"178,055", ,,,,, ,,,
,Includes Ouachita and Union Parishes,,,,,,,,,,
,City of Monroe,"49,261",834,5,23,113,693,"3,910","1,340","2,467",103
,Total area actually reporting,97.6%,"1,116",9,38,147,922,"7,873","2,575","5,080",218
,Estimated total,100.0%,"1,139",9,39,150,941,"8,059","2,611","5,224",224
,"Rate per 100,000 inhabitants",,639.7,5.1,21.9,84.2,528.5,"4,526.1","1,466.4","2,933.9",125.8
"Monroe, MI M.S.A.",,"151,906", ,,,,, ,,,
,Includes Monroe County,,,,,,,,,,
,City of Monroe,"20,717",107,0,13,24,70,911,244,622,45
,Total area actually reporting,94.4%,353,3,65,66,219,"3,631","1,075","2,358",198
,Estimated total,100.0%,377,3,68,71,235,"3,852","1,124","2,513",215
,"Rate per 100,000 inhabitants",,248.2,2.0,44.8,46.7,154.7,"2,535.8",739.9,"1,654.3",141.5
"Montgomery, AL M.S.A.1",,"376,339", ,,,,, ,,,
,"Includes Autauga, Elmore, Lowndes, and Montgomery Counties1",,,,,,,,,,
,City of Montgomery1,"206,754",707,31,38,354,284,"10,744","2,885","7,043",816
,Total area actually reporting,99.7%,"1,117",39,76,431,571,"15,333","4,238","10,004","1,091"
,Estimated total,100.0%,"1,121",39,76,432,574,"15,375","4,249","10,032","1,094"
,"Rate per 100,000 inhabitants",,297.9,10.4,20.2,114.8,152.5,"4,085.4","1,129.0","2,665.7",290.7
"Morristown, TN M.S.A.",,"137,840", ,,,,, ,,,
,"Includes Grainger, Hamblen, and Jefferson Counties",,,,,,,,,,
,City of Morristown,"29,400",195,1,13,35,146,"1,964",200,"1,667",97
,Total area actually reporting,100.0%,474,3,27,79,365,"4,704","1,035","3,419",250
,"Rate per 100,000 inhabitants",,343.9,2.2,19.6,57.3,264.8,"3,412.7",750.9,"2,480.4",181.4
"Mount Vernon-Anacortes, WA M.S.A.",,"118,735",,,,,,,,,
,Includes Skagit County,, ,,,,,,,,
,City of Mount Vernon,"32,241",100,2,24,34,40,"1,804",351,"1,377",76
,City of Anacortes,"16,026",24,0,6,4,14,501,91,387,23
,Total area actually reporting,100.0%,242,3,47,64,128,"5,293","1,228","3,801",264
,"Rate per 100,000 inhabitants",,203.8,2.5,39.6,53.9,107.8,"4,457.8","1,034.2","3,201.2",222.3
"Muncie, IN M.S.A.",,"118,272", ,,,,, ,,,
,Includes Delaware County,,,,,,,,,,
,City of Muncie,"70,443",513,1,42,108,362,"2,433",553,"1,701",179
,Total area actually reporting,100.0%,602,2,61,117,422,"3,352",775,"2,354",223
,"Rate per 100,000 inhabitants",,509.0,1.7,51.6,98.9,356.8,"2,834.1",655.3,"1,990.3",188.5
"Muskegon-Norton Shores, MI M.S.A.",,"172,058",,,,,,,,,
,Includes Muskegon County,, ,,,,,,,,
,City of Muskegon,"38,372",364,5,34,86,239,"2,157",585,"1,500",72
,City of Norton Shores,"23,976",39,0,3,13,23,759,103,637,19
,Total area actually reporting,100.0%,746,7,101,165,473,"7,092","1,470","5,394",228
,"Rate per 100,000 inhabitants",,433.6,4.1,58.7,95.9,274.9,"4,121.9",854.4,"3,135.0",132.5
"Myrtle Beach-North Myrtle Beach-Conway, SC M.S.A.",,"272,427",,,,,,,,,
,Includes Horry County,,,,,,,,,,
,City of Myrtle Beach,"27,425",443,4,36,160,243,"4,187",590,"3,243",354
,City of North Myrtle Beach,"13,912",108,3,13,43,49,"1,501",376,"1,032",93
,City of Conway,"17,302",158,1,11,35,111,887,220,636,31
,Total area actually reporting,99.9%,"1,821",24,178,410,"1,209","15,214","3,401","10,676","1,137"
,Estimated total,100.0%,"1,822",24,178,410,"1,210","15,229","3,404","10,687","1,138"
,"Rate per 100,000 inhabitants",,668.8,8.8,65.3,150.5,444.2,"5,590.1","1,249.5","3,922.9",417.7
"Napa, CA M.S.A.",,"138,089", ,,,,, ,,,
,Includes Napa County,,,,,,,,,,
,City of Napa,"77,819",224,1,24,47,152,"1,615",344,"1,132",139
,Total area actually reporting,100.0%,452,3,34,69,346,"2,799",631,"1,919",249
,"Rate per 100,000 inhabitants",,327.3,2.2,24.6,50.0,250.6,"2,027.0",457.0,"1,389.7",180.3
"Naples-Marco Island, FL M.S.A.",,"325,902",,,,,,,,,
,Includes Collier County,, ,,,,,,,,
,City of Naples,"19,803",55,1,1,6,47,615,73,526,16
,City of Marco Island,"16,637",10,0,2,1,7,202,39,161,2
,Total area actually reporting,100.0%,"1,028",10,45,215,758,"6,077","1,485","4,377",215
,"Rate per 100,000 inhabitants",,315.4,3.1,13.8,66.0,232.6,"1,864.7",455.7,"1,343.0",66.0
"Nashville-Davidson--Murfreesboro--Franklin, TN M.S.A.",,"1,604,276",,,,,,,,,
,"Includes Cannon, Cheatham, Davidson, Dickson, Hickman, Macon, Robertson, Rutherford, Smith, Sumner, Trousdale, Williamson, and Wilson Counties ",,,,,,,,,,
,City of Nashville,"612,789","7,239",50,373,"1,889","4,927","29,256","7,541","19,987","1,728"
,City of Murfreesboro,"109,736",654,3,30,131,490,"4,851","1,383","3,283",185
,City of Franklin,"63,051",103,0,11,11,81,"1,021",88,898,35
,Total area actually reporting,100.0%,"10,440",78,596,"2,316","7,450","53,243","13,474","36,858","2,911"
,"Rate per 100,000 inhabitants",,650.8,4.9,37.2,144.4,464.4,"3,318.8",839.9,"2,297.5",181.5
"New Haven-Milford, CT M.S.A.",,"810,372",,,,,,,,,
,Includes New Haven County,, ,,,,,,,,
,City of New Haven,"130,019","1,748",34,55,766,893,"6,479","1,413","4,124",942
,City of Milford,"52,857",35,1,0,23,11,"1,753",158,"1,515",80
,Total area actually reporting,100.0%,"3,008",50,115,"1,246","1,597","24,656","4,526","17,775","2,355"
,"Rate per 100,000 inhabitants",,371.2,6.2,14.2,153.8,197.1,"3,042.6",558.5,"2,193.4",290.6
"New Orleans-Metairie-Kenner, LA M.S.A.",,"1,178,445",,,,,,,,,
,"Includes Jefferson, Orleans, Plaquemines, St. Bernard, St. Charles, St. John the Baptist, and St. Tammany Parishes",,,,,,,,,,
,City of New Orleans,"346,974","2,748",200,163,"1,059","1,326","14,013","3,857","7,616","2,540"
,City of Kenner,"67,312",161,9,10,69,73,"2,604",414,"2,040",150
,Total area actually reporting,100.0%,"5,782",279,310,"1,781","3,412","39,982","9,562","26,334","4,086"
,"Rate per 100,000 inhabitants",,490.6,23.7,26.3,151.1,289.5,"3,392.8",811.4,"2,234.6",346.7
"New York-Northern New Jersey-Long Island, NY-NJ-PA M.S.A.",,"18,974,419",,,,,,,,,
,"Includes the Metropolitan Divisions of Edison-New Brunswick, NJ; Nassau-Suffolk, NY; Newark-Union, NJ-PA; and New York-White Plains-Wayne, NY-NJ",,,,,,,,,,
,"City of New York, NY","8,211,875","51,209",515,"1,092","19,773","29,829","140,457","18,159","112,864","9,434"
,"City of Newark, NJ","278,064","3,243",94,58,"1,977","1,114","10,016","2,396","3,921","3,699"
,"City of Edison Township, NJ","100,300",142,2,9,65,66,"1,832",343,"1,279",210
,"City of White Plains, NY","57,109",87,1,3,29,54,"1,265",46,"1,182",37
,"City of Wayne Township, NJ","54,899",34,0,3,18,13,"1,173",144,964,65
,"City of Union Township, NJ","56,831",116,1,4,63,48,"1,002",155,745,102
,"City of New Brunswick, NJ","55,365",479,3,7,250,219,"1,609",404,"1,102",103
,Total area actually reporting,99.9%,"77,000",852,"1,895","31,618","42,635","330,615","56,466","247,451","26,698"
,Estimated total,100.0%,"77,029",852,"1,896","31,628","42,653","330,926","56,514","247,703","26,709"
,"Rate per 100,000 inhabitants",,406.0,4.5,10.0,166.7,224.8,"1,744.1",297.8,"1,305.5",140.8
"Edison-New Brunswick, NJ M.D.",,"2,348,037",,,,,,,,,
,"Includes Middlesex, Monmouth, Ocean, and Somerset Counties",,,,,,,,,,
,Total area actually reporting,100.0%,"3,554",29,185,"1,351","1,989","45,227","9,173","34,239","1,815"
,"Rate per 100,000 inhabitants",,151.4,1.2,7.9,57.5,84.7,"1,926.2",390.7,"1,458.2",77.3
"Nassau-Suffolk, NY M.D.",,"2,845,615",,,,,,,,,
,Includes Nassau and Suffolk Counties,,,,,,,,,,
,Total area actually reporting,99.9%,"4,367",55,114,"1,850","2,348","45,947","7,885","35,697","2,365"
,Estimated total,100.0%,"4,370",55,114,"1,851","2,350","45,975","7,889","35,720","2,366"
,"Rate per 100,000 inhabitants",,153.6,1.9,4.0,65.0,82.6,"1,615.6",277.2,"1,255.3",83.1
"Newark-Union, NJ-PA M.D.",,"2,154,867",,,,,,,,,
,"Includes Essex, Hunterdon, Morris, Sussex, and Union Counties, NJ and Pike County, PA",,,,,,,,,,
,Total area actually reporting,100.0%,"8,356",172,246,"4,495","3,443","44,685","10,433","26,146","8,106"
,"Rate per 100,000 inhabitants",,387.8,8.0,11.4,208.6,159.8,"2,073.7",484.2,"1,213.3",376.2
"New York-White Plains-Wayne, NY-NJ M.D.",,"11,625,900",,,,,,,,,
,"Includes Bergen, Hudson, and Passaic Counties, NJ and Bronx, Kings, New York, Putnam, Queens, Richmond, Rockland, and Westchester Counties, NY",,,,,,,,,,
,Total area actually reporting,99.9%,"60,723",596,"1,350","23,922","34,855","194,756","28,975","151,369","14,412"
,Estimated total,100.0%,"60,749",596,"1,351","23,931","34,871","195,039","29,019","151,598","14,422"
,"Rate per 100,000 inhabitants",,522.5,5.1,11.6,205.8,299.9,"1,677.6",249.6,"1,304.0",124.1
"North Port-Bradenton-Sarasota, FL M.S.A.",,"711,852",,,,,,,,,
,Includes Manatee and Sarasota Counties,,,,,,,,,,
,City of North Port,"58,139",160,1,15,23,121,"1,373",375,966,32
,City of Bradenton,"50,221",362,1,14,79,268,"2,165",584,"1,486",95
,City of Sarasota,"52,625",513,8,28,172,305,"3,226",698,"2,414",114
,City of Venice,"21,031",28,0,3,9,16,556,129,414,13
,Total area actually reporting,100.0%,"3,518",32,194,831,"2,461","25,997","6,771","18,320",906
,"Rate per 100,000 inhabitants",,494.2,4.5,27.3,116.7,345.7,"3,652.0",951.2,"2,573.6",127.3
"Norwich-New London, CT M.S.A.",,"146,560",,,,,,,,,
,Includes New London County,,,,,,,,,,
,City of Norwich,"40,568",133,2,25,45,61,856,235,570,51
,City of New London,"27,671",319,3,18,41,257,814,227,538,49
,Total area actually reporting,100.0%,583,5,60,107,411,"3,260",647,"2,471",142
,"Rate per 100,000 inhabitants",,397.8,3.4,40.9,73.0,280.4,"2,224.3",441.5,"1,686.0",96.9
"Ocala, FL M.S.A.",,"335,813",,,,,,,,,
,Includes Marion County,, ,,,,, ,,,
,City of Ocala,"57,082",358,5,26,112,215,"3,154",713,"2,376",65
,Total area actually reporting,100.0%,"1,668",14,162,191,"1,301","8,381","2,540","5,549",292
,"Rate per 100,000 inhabitants",,496.7,4.2,48.2,56.9,387.4,"2,495.7",756.4,"1,652.4",87.0
"Ocean City, NJ M.S.A. ",,"97,589",,,,,,,,,
,Includes Cape May County,, ,,,,, ,,,
,City of Ocean City,"11,740",22,0,1,1,20,581,111,468,2
,Total area actually reporting,100.0%,309,1,13,84,211,"4,544","1,075","3,395",74
,"Rate per 100,000 inhabitants",,316.6,1.0,13.3,86.1,216.2,"4,656.3","1,101.6","3,478.9",75.8
"Odessa, TX M.S.A.",,"140,016",,,,,,,,,
,Includes Ector County,, ,,,,, ,,,
,City of Odessa,"102,043",748,6,37,73,632,"3,134",617,"2,336",181
,Total area actually reporting,100.0%,951,11,38,95,807,"4,238",900,"3,096",242
,"Rate per 100,000 inhabitants",,679.2,7.9,27.1,67.8,576.4,"3,026.8",642.8,"2,211.2",172.8
"Ogden-Clearfield, UT M.S.A.",,"557,743",,,,,,,,,
,"Includes Davis, Morgan, and Weber Counties",,,,,,,,,,
,City of Ogden,"84,423",392,2,20,96,274,"4,429",858,"3,279",292
,City of Clearfield,"30,693",54,0,10,9,35,746,108,613,25
,Total area actually reporting,100.0%,827,8,150,151,518,"14,294","2,378","11,249",667
,"Rate per 100,000 inhabitants",,148.3,1.4,26.9,27.1,92.9,"2,562.8",426.4,"2,016.9",119.6
"Oklahoma City, OK M.S.A.",,"1,266,404",,,,,,,,,
,"Includes Canadian, Cleveland, Grady, Lincoln, Logan, McClain, and Oklahoma Counties",, ,,,,, ,,,
,City of Oklahoma City,"586,208","5,108",58,277,"1,232","3,541","34,113","9,855","20,199","4,059"
,Total area actually reporting,100.0%,"6,689",78,511,"1,501","4,599","54,100","14,513","34,142","5,445"
,"Rate per 100,000 inhabitants",,528.2,6.2,40.4,118.5,363.2,"4,271.9","1,146.0","2,696.0",430.0
"Olympia, WA M.S.A.",,"256,222",,,,,,,,,
,Includes Thurston County,, ,,,,, ,,,
,City of Olympia ,"47,207",126,0,17,31,78,"1,976",342,"1,535",99
,Total area actually reporting,100.0%,587,4,70,90,423,"7,123","1,916","4,861",346
,"Rate per 100,000 inhabitants",,229.1,1.6,27.3,35.1,165.1,"2,780.0",747.8,"1,897.2",135.0
"Omaha-Council Bluffs, NE-IA M.S.A.",,"872,617",,,,,,,,,
,"Includes Harrison, Mills, and Pottawattamie Counties, IA and Cass, Douglas, Sarpy, Saunders, and Washington Counties, NE",,,,,,,,,,
,"City of Omaha, NE","412,608","2,309",43,220,696,"1,350","18,764","3,321","12,793","2,650"
,"City of Council Bluffs, IA ","62,556",656,4,69,61,522,"4,251",980,"2,776",495
,Total area actually reporting,99.9%,"3,349",51,366,789,"2,143","29,256","5,615","19,979","3,662"
,Estimated total,100.0%,"3,349",51,366,789,"2,143","29,276","5,618","19,995","3,663"
,"Rate per 100,000 inhabitants",,383.8,5.8,41.9,90.4,245.6,"3,355.0",643.8,"2,291.4",419.8
"Orlando-Kissimmee-Sanford, FL M.S.A.",,"2,163,500",,,,,,,,,
,"Includes Lake, Orange, Osceola, and Seminole Counties",, ,,,,, ,,,
,City of Orlando,"241,548","2,591",29,119,697,"1,746","17,145","4,165","11,669","1,311"
,City of Kissimmee,"60,495",593,3,24,118,448,"3,364",870,"2,332",162
,City of Sanford,"54,300",329,4,23,159,143,"3,234",945,"2,143",146
,Total area actually reporting,100.0%,"12,887",122,679,"2,968","9,118","79,243","22,072","51,775","5,396"
,"Rate per 100,000 inhabitants",,595.7,5.6,31.4,137.2,421.4,"3,662.7","1,020.2","2,393.1",249.4
"Oshkosh-Neenah, WI M.S.A.",,"167,722",,,,,,,,,
,Includes Winnebago County,,,,,,,,,,
,City of Oshkosh,"66,371",179,0,11,20,148,"1,668",315,"1,330",23
,City of Neenah,"25,612",36,0,4,1,31,407,72,327,8
,Total area actually reporting,100.0%,321,1,24,26,270,"3,195",627,"2,508",60
,"Rate per 100,000 inhabitants",,191.4,0.6,14.3,15.5,161.0,"1,904.9",373.8,"1,495.3",35.8
"Owensboro, KY M.S.A.",,"115,545",,,,,,,,,
,"Includes Daviess, Hancock, and McLean Counties",, ,,,,, ,,,
,City of Owensboro,"57,661",143,1,46,37,59,"2,323",513,"1,711",99
,Total area actually reporting,100.0%,164,1,56,42,65,"3,050",714,"2,212",124
,"Rate per 100,000 inhabitants",,141.9,0.9,48.5,36.3,56.3,"2,639.7",617.9,"1,914.4",107.3
"Oxnard-Thousand Oaks-Ventura, CA M.S.A.",,"832,997",,,,,,,,,
,Includes Ventura County,,,,,,,,,,
,City of Oxnard,"200,225",619,8,26,274,311,"3,499",577,"2,563",359
,City of Thousand Oaks,"128,172",137,1,10,34,92,"1,788",319,"1,409",60
,City of Ventura,"107,684",326,1,20,135,170,"3,320",657,"2,468",195
,City of Camarillo,"65,968",79,2,10,17,50,882,160,675,47
,Total area actually reporting,100.0%,"1,705",15,101,616,973,"14,169","2,654","10,501","1,014"
,"Rate per 100,000 inhabitants",,204.7,1.8,12.1,73.9,116.8,"1,701.0",318.6,"1,260.6",121.7
"Palm Bay-Melbourne-Titusville, FL M.S.A.",,"550,781",,,,,,,,,
,Includes Brevard County,,,,,,,,,,
,City of Palm Bay,"104,596",601,2,22,97,480,"2,739",808,"1,786",145
,City of Melbourne,"77,105",750,3,25,158,564,"4,010",873,"3,021",116
,City of Titusville,"44,357",270,2,27,66,175,"1,634",423,"1,076",135
,Total area actually reporting,100.0%,"3,262",15,174,561,"2,512","18,155","4,616","12,791",748
,"Rate per 100,000 inhabitants",,592.2,2.7,31.6,101.9,456.1,"3,296.2",838.1,"2,322.3",135.8
"Palm Coast, FL M.S.A.",,"97,000",,,,,,,,,
,Includes Flagler County,, ,,,,, ,,,
,Total area actually reporting,100.0%,311,1,19,37,254,"2,064",505,"1,484",75
,"Rate per 100,000 inhabitants",,320.6,1.0,19.6,38.1,261.9,"2,127.8",520.6,"1,529.9",77.3
"Panama City-Lynn Haven-Panama City Beach, FL M.S.A.",,"171,153",,,,,,,,,
,Includes Bay County,,,,,,,,,,
,City of Panama City,"36,981",316,3,11,78,224,"2,281",410,"1,753",118
,City of Lynn Haven,"18,745",66,0,2,6,58,499,91,399,9
,City of Panama City Beach,"12,182",84,1,10,18,55,"1,111",194,911,6
,Total area actually reporting,100.0%,915,12,62,173,668,"7,424","1,628","5,472",324
,"Rate per 100,000 inhabitants",,534.6,7.0,36.2,101.1,390.3,"4,337.6",951.2,"3,197.1",189.3
"Pascagoula, MS M.S.A.",,"162,859",,,,,,,,,
,Includes George and Jackson Counties,, ,,,,, ,,,
,City of Pascagoula,"22,477",74,1,14,41,18,"1,509",349,"1,083",77
,Total area actually reporting,100.0%,548,5,69,120,354,"5,358","1,628","3,393",337
,"Rate per 100,000 inhabitants",,336.5,3.1,42.4,73.7,217.4,"3,290.0",999.6,"2,083.4",206.9
"Pensacola-Ferry Pass-Brent, FL M.S.A.",,"455,110",,,,,,,,,
,Includes Escambia and Santa Rosa Counties,,,,,,,,,,
,City of Pensacola,"52,631",383,2,28,102,251,"2,974",610,"2,226",138
,Total area actually reporting,100.0%,"2,397",18,198,581,"1,600","16,320","3,963","11,529",828
,"Rate per 100,000 inhabitants",,526.7,4.0,43.5,127.7,351.6,"3,585.9",870.8,"2,533.2",181.9
"Peoria, IL M.S.A.",,"380,327",,,,,,,,,
,"Includes Marshall, Peoria, Stark, Tazewell, and Woodford Counties",, ,,,,, ,,,
,City of Peoria,"115,353",814,16,33,288,477,"5,438","1,721","3,460",257
,Total area actually reporting,83.1%,"1,319",20,111,329,859,"9,242","2,701","6,155",386
,Estimated total,100.0%,"1,467",22,127,371,947,"10,660","2,974","7,237",449
,"Rate per 100,000 inhabitants",,385.7,5.8,33.4,97.5,249.0,"2,802.9",782.0,"1,902.8",118.1
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD M.S.A.",,"5,988,988",,,,,,,,,
,"Includes the Metropolitan Divisions of Camden, NJ; Philadelphia, PA; and Wilmington, DE-MD-NJ",,,,,,,,,,
,"City of Philadelphia, PA","1,530,873","18,268",324,833,"8,246","8,865","59,617","12,057","40,113","7,447"
,"City of Camden, NJ","77,604","2,152",47,66,857,"1,182","4,462","1,436","2,226",800
,"City of Wilmington, DE","71,577","1,111",23,30,427,631,"3,772","1,148","2,213",411
,Total area actually reporting,99.7%,"31,844",486,"1,625","13,047","16,686","164,188","33,358","117,885","12,945"
,Estimated total,100.0%,"31,880",486,"1,628","13,057","16,709","164,536","33,415","118,163","12,958"
,"Rate per 100,000 inhabitants",,532.3,8.1,27.2,218.0,279.0,"2,747.3",557.9,"1,973.0",216.4
"Camden, NJ M.D.",,"1,254,841",,,,,,,,,
,"Includes Burlington, Camden, and Gloucester Counties",,,,,,,,,,
,Total area actually reporting,100.0%,"4,412",65,245,"1,686","2,416","33,497","7,892","23,547","2,058"
,"Rate per 100,000 inhabitants",,351.6,5.2,19.5,134.4,192.5,"2,669.4",628.9,"1,876.5",164.0
"Philadelphia, PA M.D.",,"4,021,780",,,,,,,,,
,"Includes Bucks, Chester, Delaware, Montgomery, and Philadelphia Counties",,,,,,,,,,
,Total area actually reporting,99.6%,"23,559",386,"1,200","9,997","11,976","108,016","19,925","78,541","9,550"
,Estimated total,100.0%,"23,595",386,"1,203","10,007","11,999","108,364","19,982","78,819","9,563"
,"Rate per 100,000 inhabitants",,586.7,9.6,29.9,248.8,298.4,"2,694.4",496.8,"1,959.8",237.8
"Wilmington, DE-MD-NJ M.D.",,"712,367",,,,,,,,,
,"Includes New Castle County, DE; Cecil County, MD; and Salem County, NJ",,,,,,,,,,
,Total area actually reporting,100.0%,"3,873",35,180,"1,364","2,294","22,675","5,541","15,797","1,337"
,"Rate per 100,000 inhabitants",,543.7,4.9,25.3,191.5,322.0,"3,183.1",777.8,"2,217.5",187.7
"Phoenix-Mesa-Glendale, AZ M.S.A.",,"4,252,245",,,,,,,,,
,Includes Maricopa and Pinal Counties,,,,,,,,,,
,City of Phoenix,"1,466,097","8,089",116,559,"3,324","4,090","64,479","18,666","38,258","7,555"
,City of Mesa,"445,256","1,838",18,131,497,"1,192","15,117","2,769","11,407",941
,City of Glendale,"229,931","1,114",22,44,431,617,"14,738","2,442","10,838","1,458"
,City of Scottsdale,"220,462",400,4,34,125,237,"6,724","1,424","5,054",246
,City of Tempe,"164,008",787,5,45,237,500,"8,933","1,579","6,804",550
,Total area actually reporting,99.9%,"16,144",209,"1,155","5,352","9,428","155,389","37,490","104,283","13,616"
,Estimated total,100.0%,"16,152",209,"1,156","5,354","9,433","155,482","37,510","104,351","13,621"
,"Rate per 100,000 inhabitants",,379.8,4.9,27.2,125.9,221.8,"3,656.5",882.1,"2,454.0",320.3
"Pine Bluff, AR M.S.A.",,"101,017",,,,,,,,,
,"Includes Cleveland, Jefferson, and Lincoln Counties",,,,,,,,,,
,City of Pine Bluff ,"49,454",683,12,41,152,478,"4,008","1,565","2,168",275
,Total area actually reporting,98.2%,768,15,48,162,543,"4,988","1,984","2,604",400
,Estimated total,100.0%,777,15,49,163,550,"5,059","2,008","2,648",403
,"Rate per 100,000 inhabitants",,769.2,14.8,48.5,161.4,544.5,"5,008.1","1,987.8","2,621.3",398.9
"Pittsburgh, PA M.S.A.",,"2,363,799", ,,,,, ,,,
,"Includes Allegheny, Armstrong, Beaver, Butler, Fayette, Washington, and Westmoreland Counties",,,,,,,,,,
,City of Pittsburgh ,"308,609","2,476",44,67,"1,126","1,239","10,063","2,686","6,897",480
,Total area actually reporting,99.1%,"7,043",90,422,"2,139","4,392","45,075","10,040","33,199","1,836"
,Estimated total,100.0%,"7,084",90,425,"2,150","4,419","45,480","10,106","33,523","1,851"
,"Rate per 100,000 inhabitants",,299.7,3.8,18.0,91.0,186.9,"1,924.0",427.5,"1,418.2",78.3
"Pittsfield, MA M.S.A.",,"132,019", ,,,,, ,,,
,Includes Berkshire County,,,,,,,,,,
,City of Pittsfield,"45,010",269,4,31,40,194,"1,266",459,738,69
,Total area actually reporting,93.5%,515,4,65,53,393,"3,013","1,012","1,881",120
,Estimated total,100.0%,542,4,67,58,413,"3,183","1,054","1,998",131
,"Rate per 100,000 inhabitants",,410.5,3.0,50.8,43.9,312.8,"2,411.0",798.4,"1,513.4",99.2
"Pocatello, ID M.S.A.",,"91,658", ,,,,, ,,,
,Includes Bannock and Power Counties,,,,,,,,,,
,City of Pocatello ,"54,855",132,3,15,5,109,"1,794",262,"1,457",75
,Total area actually reporting,100.0%,192,3,20,7,162,"2,611",335,"2,187",89
,"Rate per 100,000 inhabitants",,209.5,3.3,21.8,7.6,176.7,"2,848.6",365.5,"2,386.0",97.1
"Portland-South Portland-Biddeford, ME M.S.A.",,"514,030",,,,,,,,,
,"Includes Cumberland, Sagadahoc, and York Counties",, ,,,,,,,,
,City of Portland,"66,185",190,2,36,92,60,"2,639",441,"2,096",102
,City of South Portland,"24,999",60,0,5,12,43,860,81,760,19
,City of Biddeford,"21,274",79,0,14,21,44,"1,169",244,908,17
,Total area actually reporting,100.0%,672,5,135,186,346,"13,262","2,919","9,891",452
,"Rate per 100,000 inhabitants",,130.7,1.0,26.3,36.2,67.3,"2,580.0",567.9,"1,924.2",87.9
"Portland-Vancouver-Hillsboro, OR-WA M.S.A.",,"2,251,909",,,,,,,,,
,"Includes Clackamas, Columbia, Multnomah, Washington, and Yamhill Counties, OR and Clark and Skamania Counties, WA",,,,,,,,,,
,"City of Portland, OR","589,991","3,037",20,258,917,"1,842","30,022","4,303","22,494","3,225"
,"City of Vancouver, WA","164,329",633,9,102,185,337,"6,447",950,"4,629",868
,"City of Hillsboro, OR","92,586",146,1,23,35,87,"2,065",252,"1,683",130
,"City of Beaverton, OR","90,759",166,0,21,36,109,"1,779",227,"1,410",142
,Total area actually reporting,98.8%,"5,805",47,737,"1,689","3,332","70,089","10,931","52,511","6,647"
,Estimated total,100.0%,"5,849",47,743,"1,697","3,362","70,657","11,047","52,921","6,689"
,"Rate per 100,000 inhabitants",,259.7,2.1,33.0,75.4,149.3,"3,137.6",490.6,"2,350.1",297.0
"Port St. Lucie, FL M.S.A.",,"429,887",,,,,,,,,
,Includes Martin and St. Lucie Counties,, ,,,,,,,,
,City of Port St. Lucie,"166,846",371,6,30,61,274,"3,861","1,128","2,590",143
,Total area actually reporting,100.0%,"1,481",22,95,398,966,"12,063","3,360","8,247",456
