Table 6,,,,,,,,,,,,,,
Crime in the United States,, ,,,,,,,,,,,,
"by Metropolitan Statistical Area, 2006",,,,,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,,,
,Estimated total,100.0%,"1,594",47,120,833,594,"20,591","4,959","13,762","1,870",,,
,"Rate per 100,000 inhabitants",,393.5,11.6,29.6,205.6,146.6,"5,083.5","1,224.3","3,397.5",461.7,,,
"Modesto, CA M.S.A.",,"510,058",,,,,,,,,,,,
,Includes Stanislaus County,,,,,,,,,,,,,
,City of Modesto,"208,875","1,418",11,73,462,872,"11,804","1,762","8,018","2,024",,,
,Total area actually reporting,100.0%,"3,056",29,151,767,"2,109","25,230","5,002","15,586","4,642",,,
,"Rate per 100,000 inhabitants",,599.1,5.7,29.6,150.4,413.5,"4,946.5",980.7,"3,055.7",910.1,,,
"Monroe, LA M.S.A.",,"162,215",,,,,,,,,,,,
,Includes Ouachita and Union Parishes,,,,,,,,,,,,,
,City of Monroe,"49,207",425,12,27,71,315,"4,592","1,170","3,270",152,,,
,Total area actually reporting,98.8%,830,14,64,127,625,"8,584","2,364","5,896",324,,,
,Estimated total,100.0%,846,14,65,130,637,"8,696","2,384","5,981",331,,,
,"Rate per 100,000 inhabitants",,521.5,8.6,40.1,80.1,392.7,"5,360.8","1,469.7","3,687.1",204.1,,,
"Monroe, MI M.S.A.",,"153,551",,,,,,,,,,,,
,Includes Monroe County,,,,,,,,,,,,,
,City of Monroe,"21,737",84,0,11,10,63,660,116,520,24,,,
,Total area actually reporting,100.0%,347,1,56,47,243,"3,744",867,"2,582",295,,,
,"Rate per 100,000 inhabitants",,226.0,0.7,36.5,30.6,158.3,"2,438.3",564.6,"1,681.5",192.1,,,
"Montgomery, AL M.S.A.",,"360,475",,,,,,,,,,,,
,"Includes Autauga, Elmore, Lowndes, and Montgomery Counties",,,,,,,,,,,,,
,City of Montgomery,"201,937","1,184",27,74,686,397,"13,086","3,380","8,579","1,127",,,
,Total area actually reporting,93.7%,"1,509",32,112,776,589,"16,451","4,231","10,937","1,283",,,
,Estimated total,100.0%,"1,561",33,117,790,621,"16,978","4,399","11,248","1,331",,,
,"Rate per 100,000 inhabitants",,433.0,9.2,32.5,219.2,172.3,"4,709.9","1,220.3","3,120.3",369.2,,,
"Morgantown, WV M.S.A.",,"114,603",,,,,,,,,,,,
,Includes Monongalia and Preston Counties,,,,,,,,,,,,,
,City of Morgantown,"28,317",113,1,26,29,57,"1,013",233,739,41,,,
,Total area actually reporting,96.8%,266,4,41,54,167,"2,665",666,"1,811",188,,,
,Estimated total,100.0%,275,4,42,56,173,"2,783",689,"1,898",196,,,
,"Rate per 100,000 inhabitants",,240.0,3.5,36.6,48.9,151.0,"2,428.4",601.2,"1,656.2",171.0,,,
"Morristown, TN M.S.A.",,"132,236",,,,,,,,,,,,
,"Includes Grainger, Hamblen, and Jefferson Counties",,,,,,,,,,,,,
,City of Morristown,"26,520",251,1,19,30,201,"1,685",175,"1,396",114,,,
,Total area actually reporting,100.0%,571,2,33,58,478,"4,461",834,"3,277",350,,,
,"Rate per 100,000 inhabitants",,431.8,1.5,25.0,43.9,361.5,"3,373.5",630.7,"2,478.1",264.7,,,
"Mount Vernon-Anacortes, WA M.S.A.",,"115,116", ,,,,,,,,,,,
,Includes Skagit County,,,,,,,,,,,,,
,City of Mount Vernon,"29,774",76,0,19,24,33,"2,154",265,"1,709",180,,,
,City of Anacortes,"16,359",30,0,6,5,19,690,111,555,24,,,
,Total area actually reporting,100.0%,259,2,71,60,126,"6,689","1,150","5,010",529,,,
,"Rate per 100,000 inhabitants",,225.0,1.7,61.7,52.1,109.5,"5,810.7",999.0,"4,352.1",459.5,,,
"Muncie, IN M.S.A.",,"117,133",,,,,,,,,,,,
,Includes Delaware County,,,,,,,,,,,,,
,City of Muncie,"66,602",340,3,45,95,197,"3,111",633,"2,315",163,,,
,Total area actually reporting,100.0%,403,4,66,100,233,"4,108",847,"3,011",250,,,
,"Rate per 100,000 inhabitants",,344.1,3.4,56.3,85.4,198.9,"3,507.1",723.1,"2,570.6",213.4,,,
"Muskegon-Norton Shores, MI M.S.A.",,"175,117", ,,,,,,,,,,,
,Includes Muskegon County,,,,,,,,,,,,,
,City of Muskegon,"39,820",447,1,52,101,293,"2,671",453,"2,048",170,,,
,City of Norton Shores,"23,421",52,0,10,17,25,"1,030",140,842,48,,,
,Total area actually reporting,100.0%,961,4,145,194,618,"8,520","1,378","6,671",471,,,
,"Rate per 100,000 inhabitants",,548.8,2.3,82.8,110.8,352.9,"4,865.3",786.9,"3,809.5",269.0,,,
"Myrtle Beach-Conway-North Myrtle Beach, SC M.S.A.",,"230,522",,,,,,,,,,,,
,Includes Horry County,,,,,,,,,,,,,
,City of Myrtle Beach,"27,007",555,8,67,203,277,"4,887",778,"3,590",519,,,
,City of Conway,"13,651",204,3,6,41,154,"1,102",210,838,54,,,
,City of North Myrtle Beach,"14,315",60,0,12,19,29,"1,313",222,"1,049",42,,,
,Total area actually reporting,100.0%,"1,958",25,164,444,"1,325","15,298","3,130","10,541","1,627",,,
,"Rate per 100,000 inhabitants",,849.4,10.8,71.1,192.6,574.8,"6,636.2","1,357.8","4,572.7",705.8,,,
"Napa, CA M.S.A.",,"133,960",,,,,,,,,,,,
,Includes Napa County,,,,,,,,,,,,,
,City of Napa,"75,455",336,1,21,70,244,"2,164",401,"1,563",200,,,
,Total area actually reporting,100.0%,463,2,36,84,341,"3,233",708,"2,169",356,,,
,"Rate per 100,000 inhabitants",,345.6,1.5,26.9,62.7,254.6,"2,413.4",528.5,"1,619.1",265.8,,,
"Naples-Marco Island, FL M.S.A.",,"312,424", ,,,,,,,,,,,
,Includes Collier County,,,,,,,,,,,,,
,City of Naples,"22,075",53,1,6,8,38,859,118,714,27,,,
,City of Marco Island,"16,381",15,0,1,2,12,207,36,168,3,,,
,Total area actually reporting,100.0%,"1,377",7,82,291,997,"6,199","1,456","4,379",364,,,
,"Rate per 100,000 inhabitants",,440.7,2.2,26.2,93.1,319.1,"1,984.2",466.0,"1,401.6",116.5,,,
"Nashville-DavidsonMurfreesboro-Franklin, TN M.S.A.",,"1,440,638",,,,,,,,,,,,
,"Includes Cannon, Cheatham, Davidson, Dickson, Hickman, Macon, Robertson, Rutherford, Smith, Sumner, Trousdale, Williamson, and Wilson Counties",,,,,,,,,,,,,
,City of Nashville,"560,813","8,565",80,320,"2,425","5,740","32,625","6,370","23,234","3,021",,,
,City of Murfreesboro,"87,897",706,6,39,179,482,"4,324",895,"3,144",285,,,
,City of Franklin,"53,989",94,1,11,17,65,954,127,783,44,,,
,Total area actually reporting,100.0%,"12,357",104,593,"2,947","8,713","55,350","11,413","39,143","4,794",,,
,"Rate per 100,000 inhabitants",,857.7,7.2,41.2,204.6,604.8,"3,842.0",792.2,"2,717.1",332.8,,,
"New Orleans-Metairie-Kenner, LA M.S.A.",,"1,250,582",,,,,,,,,,,,
,"Includes Jefferson, Orleans, Plaquemines, St. Bernard, St. Charles, St. John the Baptist, and St. Tammany Parishes",,,,,,,,,,,,,
,City of New Orleans,"431,153","2,255",162,87,761,"1,245","12,178","4,087","5,228","2,863",,,
,City of Kenner,"66,266",370,9,17,114,230,"2,698",555,"1,701",442,,,
,Total area actually reporting,94.9%,"6,620",266,278,"1,674","4,402","39,499","10,864","22,715","5,920",,,
,Estimated total,100.0%,"6,953",272,299,"1,727","4,655","41,679","11,415","24,145","6,119",,,
,"Rate per 100,000 inhabitants",,556.0,21.7,23.9,138.1,372.2,"3,332.8",912.8,"1,930.7",489.3,,,
"New York-Northern New Jersey-Long Island, NY-NJ-PA M.S.A.",,"18,785,139",,,,,,,,,,,,
,"Includes Metropolitan Divisions of Edison, NJ; Nassau-Suffolk County, NY; Newark-Union, NJ-PA; and New York-Wayne-White Plains, NY-NJ",,,,,,,,,,,,,
,"City of New York, NY","8,165,001","52,086",596,"1,071","23,511","26,908","153,436","22,137","115,363","15,936",,,
,"City of Newark, NJ","280,877","2,839",105,87,"1,288","1,359","11,456","1,982","4,377","5,097",,,
,"City of Edison Township, NJ","100,575",295,1,15,86,193,"2,320",368,"1,684",268,,,
,"City of White Plains, NY","56,885",157,1,6,48,102,"1,181",69,"1,077",35,,,
,"City of Union Township, NJ","55,368",152,2,2,69,79,"1,582",231,"1,144",207,,,
,"City of Wayne Township, NJ","55,192",39,0,2,21,16,"1,255",174,"1,003",78,,,
,Total area actually reporting,99.8%,"82,273",978,"2,101","37,098","42,096","356,978","58,098","257,798","41,082",,,
,Estimated total,100.0%,"82,359",978,"2,106","37,129","42,146","357,850","58,230","258,495","41,125",,,
,"Rate per 100,000 inhabitants",,438.4,5.2,11.2,197.7,224.4,"1,905.0",310.0,"1,376.1",218.9,,,
"Edison, NJ M.D.",,"2,305,462",,,,,,,, , ,,,
,"Includes Middlesex, Monmouth, Ocean, and Somerset Counties",,,,,,,,,,,,,
,Total area actually reporting,100.0%,"4,252",47,233,"1,597","2,375","43,830","8,432","32,482","2,916",,,
,"Rate per 100,000 inhabitants",,184.4,2.0,10.1,69.3,103.0,"1,901.1",365.7,"1,408.9",126.5,,,
"Nassau-Suffolk, NY M.D.",,"2,815,582",,,,,,,,,,,,
,Includes Nassau and Suffolk Counties,,,,,,,,,,,,,
,Total area actually reporting,99.9%,"5,679",59,200,"2,408","3,012","48,132","6,978","37,087","4,067",,,
,Estimated total,100.0%,"5,682",59,200,"2,409","3,014","48,162","6,983","37,111","4,068",,,
,"Rate per 100,000 inhabitants",,201.8,2.1,7.1,85.6,107.0,"1,710.6",248.0,"1,318.1",144.5,,,
"Newark-Union, NJ-PA M.D.",,"2,154,623",,,,,,,,,,,,
,"Includes Essex, Hunterdon, Morris, Sussex, and Union Counties, NJ and Pike County, PA",,,,,,,,,,,,,
,Total area actually reporting,99.8%,"8,936",188,296,"4,268","4,184","50,400","9,512","29,736","11,152",,,
,Estimated total,100.0%,"8,948",188,297,"4,271","4,192","50,507","9,528","29,820","11,159",,,
,"Rate per 100,000 inhabitants",,415.3,8.7,13.8,198.2,194.6,"2,344.1",442.2,"1,384.0",517.9,,,
"New York-White Plains-Wayne, NY-NJ M.D.",,"11,509,472",,,,,,,,,,,,
,"Includes Bergen, Hudson, and Passaic Counties, NJ and Bronx, Kings, New York, Putnam, Queens, Richmond, Rockland, and Westchester Counties, NY",,,,,,,,,,,,,
,Total area actually reporting,99.7%,"63,406",684,"1,372","28,825","32,525","214,616","33,176","158,493","22,947",,,
,Estimated total,100.0%,"63,477",684,"1,376","28,852","32,565","215,351","33,287","159,082","22,982",,,
,"Rate per 100,000 inhabitants",,551.5,5.9,12.0,250.7,282.9,"1,871.1",289.2,"1,382.2",199.7,,,
"Niles-Benton Harbor, MI M.S.A.",,"162,206", ,,,,,,,,,,,
,Includes Berrien County,,,,,,,,,,,,,
,City of Niles,"11,709",97,0,14,24,59,523,99,397,27,,,
,City of Benton Harbor,"10,722",174,2,9,10,153,384,136,209,39,,,
,Total area actually reporting,97.3%,760,8,108,104,540,"5,139","1,016","3,876",247,,,
,Estimated total,100.0%,774,8,110,107,549,"5,273","1,040","3,970",263,,,
,"Rate per 100,000 inhabitants",,477.2,4.9,67.8,66.0,338.5,"3,250.8",641.2,"2,447.5",162.1,,,
"Ocala, FL M.S.A.",,"308,560",,,,,,,,,,,,
,Includes Marion County,,,,,,,,,,,,,
,City of Ocala,"50,584",718,3,43,179,493,"3,283",647,"2,455",181,,,
,Total area actually reporting,100.0%,"2,326",15,177,277,"1,857","8,064","2,118","5,376",570,,,
,"Rate per 100,000 inhabitants",,753.8,4.9,57.4,89.8,601.8,"2,613.4",686.4,"1,742.3",184.7,,,
"Ocean City, NJ M.S.A. ",,"99,362",,,,,,,,,,,,
,Includes Cape May County,,,,,,,,,,,,,
,City of Ocean City,"15,342",23,0,0,4,19,"1,042",182,852,8,,,
,Total area actually reporting,100.0%,344,1,29,79,235,"4,709",888,"3,696",125,,,
,"Rate per 100,000 inhabitants",,346.2,1.0,29.2,79.5,236.5,"4,739.2",893.7,"3,719.7",125.8,,,
"Odessa, TX M.S.A.",,"128,891",,,,,,,,,,,,
,Includes Ector County,,,,,,,,,,,,,
,City of Odessa,"96,197",614,2,12,88,512,"3,654",774,"2,624",256,,,
,Total area actually reporting,100.0%,673,3,14,96,560,"4,721","1,004","3,405",312,,,
,"Rate per 100,000 inhabitants",,522.1,2.3,10.9,74.5,434.5,"3,662.8",779.0,"2,641.8",242.1,,,
"Ogden-Clearfield, UT M.S.A.",,"502,708", ,,,,,,,,,,,
,"Includes Davis, Morgan, and Weber Counties",,,,,,,,,,,,,
,City of Ogden,"80,861",415,2,37,123,253,"5,029",820,"3,773",436,,,
,City of Clearfield,"28,306",56,2,9,6,39,918,135,736,47,,,
,Total area actually reporting,98.4%,848,9,146,181,512,"14,631","2,399","11,345",887,,,
,Estimated total,100.0%,861,9,148,183,521,"14,851","2,442","11,501",908,,,
,"Rate per 100,000 inhabitants",,171.3,1.8,29.4,36.4,103.6,"2,954.2",485.8,"2,287.8",180.6,,,
"Oklahoma City, OK M.S.A.",,"1,167,026",,,,,,,,,,,,
,"Includes Canadian, Cleveland, Grady, Lincoln, Logan, McClain, and Oklahoma Counties",,,,,,,,,,,,,
,City of Oklahoma City,"536,016","4,301",55,327,"1,179","2,740","34,292","9,304","20,169","4,819",,,
,Total area actually reporting,100.0%,"6,015",82,543,"1,452","3,938","53,838","14,169","33,305","6,364",,,
,"Rate per 100,000 inhabitants",,515.4,7.0,46.5,124.4,337.4,"4,613.3","1,214.1","2,853.8",545.3,,,
"Olympia, WA M.S.A.",,"232,799",,,,,,,,,,,,
,Includes Thurston County,,,,,,,,,,,,,
,City of Olympia ,"44,872",149,0,28,38,83,"2,149",282,"1,661",206,,,
,Total area actually reporting,100.0%,596,4,75,112,405,"7,796","1,686","5,426",684,,,
,"Rate per 100,000 inhabitants",,256.0,1.7,32.2,48.1,174.0,"3,348.8",724.2,"2,330.8",293.8,,,
"Omaha-Council Bluffs, NE-IA M.S.A.",,"817,568",,,,,,,,,,,,
,"Includes Harrison, Mills, and Pottawattamie Counties, IA and Cass, Douglas, Sarpy, Saunders, and Washington Counties, NE",,,,,,,,,,,,,
,"City of Omaha, NE","416,770","2,505",33,187,848,"1,437","21,787","3,172","15,172","3,443",,,
,"City of Council Bluffs, IA ","59,884",539,2,68,72,397,"4,648",878,"3,137",633,,,
,Total area actually reporting,100.0%,"3,403",39,307,965,"2,092","33,351","5,256","23,550","4,545",,,
,"Rate per 100,000 inhabitants",,416.2,4.8,37.6,118.0,255.9,"4,079.3",642.9,"2,880.5",555.9,,,
"Orlando-Kissimmee, FL M.S.A.",,"1,965,859",,,,,,,,,,,,
,"Includes Lake, Orange, Osceola, and Seminole Counties",,,,,,,,,,,,,
,City of Orlando,"216,819","4,300",49,163,"1,528","2,560","18,318","3,662","12,320","2,336",,,
,City of Kissimmee,"60,365",476,7,14,134,321,"2,349",665,"1,458",226,,,
,Total area actually reporting,99.9%,"17,273",160,791,"5,176","11,146","84,874","21,586","52,896","10,392",,,
,Estimated total,100.0%,"17,284",160,792,"5,179","11,153","84,945","21,602","52,944","10,399",,,
,"Rate per 100,000 inhabitants",,879.2,8.1,40.3,263.4,567.3,"4,321.0","1,098.9","2,693.2",529.0,,,
"Oshkosh-Neenah, WI M.S.A.",,"160,067", ,,,,,,,,,,,
,Includes Winnebago County,,,,,,,,,,,,,
,City of Oshkosh,"63,718",197,4,8,14,171,"2,143",313,"1,748",82,,,
,City of Neenah,"24,686",35,0,6,1,28,486,93,377,16,,,
,Total area actually reporting,100.0%,329,4,23,20,282,"3,698",627,"2,922",149,,,
,"Rate per 100,000 inhabitants",,205.5,2.5,14.4,12.5,176.2,"2,310.3",391.7,"1,825.5",93.1,,,
"Oxnard-Thousand Oaks-Ventura, CA M.S.A.",,"803,276",,,,,,,,,,,,
,Includes Ventura County,,,,,,,,,,,,,
,City of Oxnard,"185,282",841,13,34,418,376,"4,376",946,"2,816",614,,,
,City of Thousand Oaks,"125,479",182,0,13,41,128,"1,794",367,"1,296",131,,,
,City of Ventura,"104,954",335,1,24,130,180,"3,686",730,"2,604",352,,,
,City of Camarillo,"62,131",114,2,10,28,74,"1,119",231,789,99,,,
,Total area actually reporting,100.0%,"2,223",29,128,802,"1,264","16,590","3,516","11,314","1,760",,,
,"Rate per 100,000 inhabitants",,276.7,3.6,15.9,99.8,157.4,"2,065.3",437.7,"1,408.5",219.1,,,
"Palm Bay-Melbourne-Titusville, FL M.S.A.",,"540,209",,,,,,,,,,,,
,Includes Brevard County,,,,,,,,,,,,,
,City of Palm Bay,"94,399",601,1,66,72,462,"3,141","1,101","1,754",286,,,
,City of Melbourne,"77,939",884,2,30,211,641,"4,010",928,"2,840",242,,,
,City of Titusville,"44,505",356,7,26,99,224,"1,622",386,"1,064",172,,,
,Total area actually reporting,100.0%,"3,622",22,223,635,"2,742","18,282","4,735","12,270","1,277",,,
,"Rate per 100,000 inhabitants",,670.5,4.1,41.3,117.5,507.6,"3,384.2",876.5,"2,271.3",236.4,,,
"Palm Coast, FL M.S.A.",,"77,699", , ,,,,,,,,,,
,Includes Flagler County,,,,,,,,,,,,,
,Total area actually reporting,98.1%,182,4,8,26,144,"1,883",446,"1,289",148,,,
,Estimated total,100.0%,191,4,8,29,150,"1,946",460,"1,332",154,,,
,"Rate per 100,000 inhabitants",,245.8,5.1,10.3,37.3,193.1,"2,504.5",592.0,"1,714.3",198.2,,,
"Panama City-Lynn Haven, FL M.S.A.",,"164,283", ,,,,,,,,,,,
,Includes Bay County,,,,,,,,,,,,,
,City of Panama City,"37,815",401,0,34,98,269,"2,130",369,"1,631",130,,,
,City of Lynn Haven,"15,941",267,0,1,5,261,361,98,241,22,,,
,Total area actually reporting,100.0%,"1,300",5,97,184,"1,014","6,485","1,386","4,720",379,,,
,"Rate per 100,000 inhabitants",,791.3,3.0,59.0,112.0,617.2,"3,947.5",843.7,"2,873.1",230.7,,,
"Pascagoula, MS M.S.A.",,"156,631",,,,,,,,,,,,
,Includes George and Jackson Counties,,,,,,,,,,,,,
,City of Pascagoula,"25,082",116,2,26,74,14,"2,236",798,"1,113",325,,,
,Total area actually reporting,100.0%,388,9,55,155,169,"6,611","2,040","3,570","1,001",,,
,"Rate per 100,000 inhabitants",,247.7,5.7,35.1,99.0,107.9,"4,220.7","1,302.4","2,279.2",639.1,,,
"Pensacola-Ferry Pass-Brent, FL M.S.A.",,"447,295",,,,,,,,,,,,
,Includes Escambia and Santa Rosa Counties,,,,,,,,,,,,,
,City of Pensacola,"54,967",506,1,30,118,357,"2,913",599,"2,153",161,,,
,Total area actually reporting,100.0%,"2,808",14,200,613,"1,981","15,447","3,994","10,272","1,181",,,
,"Rate per 100,000 inhabitants",,627.8,3.1,44.7,137.0,442.9,"3,453.4",892.9,"2,296.5",264.0,,,
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD M.S.A.",,"5,834,113",,,,,,,,,,,,
,"Includes Metropolitan Divisions of Camden, NJ; Philadelphia, PA; and Wilmington, DE-MD-NJ",,,,,,,,,,,,,
,"City of Philadelphia, PA","1,464,576","22,883",406,960,"10,971","10,546","62,612","11,542","39,413","11,657",,,
,"City of Camden, NJ","80,071","1,693",32,66,773,822,"4,787","1,179","2,430","1,178",,,
,"City of Wilmington, DE","73,645","1,353",18,48,565,722,"4,090",972,"2,345",773,,,
,Total area actually reporting,99.1%,"38,328",553,"1,882","16,203","19,690","168,226","30,485","116,796","20,945",,,
,Estimated total,100.0%,"38,459",554,"1,890","16,240","19,775","169,390","30,658","117,710","21,022",,,
,"Rate per 100,000 inhabitants",,659.2,9.5,32.4,278.4,339.0,"2,903.4",525.5,"2,017.6",360.3,,,
"Camden, NJ M.D.",,"1,246,850",,,,,,,,,,,,
,"Includes Burlington, Camden, and Gloucester Counties",,,,,,,,,,,,,
,Total area actually reporting,100.0%,"4,387",58,305,"1,674","2,350","33,126","6,618","23,515","2,993",,,
,"Rate per 100,000 inhabitants",,351.8,4.7,24.5,134.3,188.5,"2,656.8",530.8,"1,886.0",240.0,,,
"Philadelphia, PA M.D.",,"3,893,625",, ,, ,,,,,,,,
,"Includes Bucks, Chester, Delaware, Montgomery, and Philadelphia Counties",,,,,,,,,,,,,
,Total area actually reporting,98.6%,"29,329",457,"1,356","12,922","14,594","111,402","18,778","77,280","15,344",,,
,Estimated total,100.0%,"29,460",458,"1,364","12,959","14,679","112,566","18,951","78,194","15,421",,,
,"Rate per 100,000 inhabitants",,756.6,11.8,35.0,332.8,377.0,"2,891.0",486.7,"2,008.3",396.1,,,
"Wilmington, DE-MD-NJ M.D.",,"693,638",,,,,,,,,,,,
,"Includes New Castle County, DE; Cecil County, MD; and Salem County, NJ",,,,,,,,,,,,,
,Total area actually reporting,100.0%,"4,612",38,221,"1,607","2,746","23,698","5,089","16,001","2,608",,,
,"Rate per 100,000 inhabitants",,664.9,5.5,31.9,231.7,395.9,"3,416.5",733.7,"2,306.8",376.0,,,
"Phoenix-Mesa-Scottsdale, AZ M.S.A.",,"4,012,817",,,,,,,,,,,,
,Includes Maricopa and Pinal Counties,,,,,,,,,,,,,
,City of Phoenix,"1,517,443","11,194",234,550,"4,363","6,047","90,050","16,150","49,811","24,089",,,
,City of Mesa,"459,705","2,003",26,203,508,"1,266","21,304","3,283","14,367","3,654",,,
,City of Scottsdale,"234,652",505,5,65,153,282,"8,315","1,721","5,476","1,118",,,
,City of Tempe,"167,303","1,094",5,71,426,592,"12,589","1,795","8,374","2,420",,,
,Total area actually reporting,98.3%,"20,194",347,"1,251","6,656","11,940","192,739","38,533","113,531","40,675",,,
,Estimated total,100.0%,"20,461",349,"1,269","6,719","12,124","195,751","39,272","115,375","41,104",,,
,"Rate per 100,000 inhabitants",,509.9,8.7,31.6,167.4,302.1,"4,878.1",978.7,"2,875.2","1,024.3",,,
"Pine Bluff, AR M.S.A.",,"106,062",,,,,,,,,,,,
,"Includes Cleveland, Jefferson, and Lincoln Counties",,,,,,,,,,,,,
,City of Pine Bluff ,"53,294",798,12,36,203,547,"3,980","1,512","2,053",415,,,
,Total area actually reporting,100.0%,919,15,49,212,643,"5,122","2,039","2,576",507,,,
,"Rate per 100,000 inhabitants",,866.5,14.1,46.2,199.9,606.2,"4,829.3","1,922.5","2,428.8",478.0,,,
"Pittsburgh, PA M.S.A.",,"2,388,185",,,,,,,,,,,,
,"Includes Allegheny, Armstrong, Beaver, Butler, Fayette, Washington, and Westmoreland Counties",,,,,,,,,,,,,
,City of Pittsburgh ,"324,604","3,473",56,102,"1,722","1,593","15,236","3,713","9,658","1,865",,,
,Total area actually reporting,89.7%,"7,997",101,414,"2,946","4,536","50,473","10,456","35,502","4,515",,,
,Estimated total,100.0%,"8,594",106,452,"3,114","4,922","55,754","11,241","39,650","4,863",,,
,"Rate per 100,000 inhabitants",,359.9,4.4,18.9,130.4,206.1,"2,334.6",470.7,"1,660.3",203.6,,,
"Pittsfield, MA M.S.A.",,"132,660",,,,,,,,,,,,
,Includes Berkshire County,,,,,,,,,,,,,
,City of Pittsfield,"44,124",343,1,40,36,266,"1,240",348,804,88,,,
,Total area actually reporting,94.0%,573,2,68,40,463,"2,781",832,"1,782",167,,,
,Estimated total,100.0%,595,2,70,45,478,"2,939",871,"1,886",182,,,
,"Rate per 100,000 inhabitants",,448.5,1.5,52.8,33.9,360.3,"2,215.4",656.6,"1,421.7",137.2,,,
"Pocatello, ID M.S.A.",,"88,155",,,,,,,,,,,,
,Includes Bannock and Power Counties,,,,,,,,,,,,,
,City of Pocatello ,"54,768",181,0,32,15,134,"1,580",207,"1,310",63,,,
,Total area actually reporting,100.0%,283,1,42,16,224,"2,441",325,"2,012",104,,,
,"Rate per 100,000 inhabitants",,321.0,1.1,47.6,18.1,254.1,"2,769.0",368.7,"2,282.3",118.0,,,
"Portland-South Portland-Biddeford, ME M.S.A.",,"514,252", ,,,,,,,,,,,
,"Includes Cumberland, Sagadahoc, and York Counties",,,,,,,,,,,,,
,City of Portland,"63,892",276,3,36,149,88,"3,441",539,"2,709",193,,,
,City of South Portland,"23,743",51,1,8,13,29,930,92,809,29,,,
,City of Biddeford,"22,073",53,0,19,14,20,877,152,696,29,,,
,Total area actually reporting,100.0%,714,5,141,245,323,"13,495","2,693","10,179",623,,,
,"Rate per 100,000 inhabitants",,138.8,1.0,27.4,47.6,62.8,"2,624.2",523.7,"1,979.4",121.1,,,
"Portland-Vancouver-Beaverton, OR-WA M.S.A.",,"2,130,553",,,,,,,,,,,,
,"Includes Clackamas, Columbia, Multnomah, Washington, and Yamhill Counties, OR and Clark and Skamania Counties, WA",,,,,,,,,,,,,
,"City of Portland, OR","542,174","3,872",20,293,"1,297","2,262","31,996","5,485","22,033","4,478",,,
,"City of Vancouver, WA","160,199",598,4,103,139,352,"6,527","1,001","4,584",942,,,
,"City of Beaverton, OR","87,181",208,1,18,30,159,"2,205",311,"1,634",260,,,
,"City of Hillsboro, OR","85,919",192,2,34,77,79,"2,752",299,"2,204",249,,,
,Total area actually reporting,98.9%,"6,864",48,840,"2,092","3,884","77,124","13,076","54,499","9,549",,,
,Estimated total,100.0%,"6,898",48,845,"2,099","3,906","77,650","13,190","54,858","9,602",,,
,"Rate per 100,000 inhabitants",,323.8,2.3,39.7,98.5,183.3,"3,644.6",619.1,"2,574.8",450.7,,,
"Port St. Lucie, FL M.S.A.",,"387,459", ,,,,,,,,,,,
,Includes Martin and St. Lucie Counties,,,,,,,,,,,,,
,City of Port St. Lucie,"133,913",340,7,36,34,263,"3,563","1,065","2,355",143,,,
,Total area actually reporting,100.0%,"2,098",19,114,462,"1,503","12,311","3,222","8,257",832,,,
,"Rate per 100,000 inhabitants",,541.5,4.9,29.4,119.2,387.9,"3,177.4",831.6,"2,131.1",214.7,,,
"Poughkeepsie-Newburgh-Middletown, NY M.S.A.",,"669,529",,,, ,,,,,,,,
,Includes Dutchess and Orange Counties,,,,,,,,,,,,,
,City of Poughkeepsie,"30,436",417,4,13,173,227,"1,122",242,792,88,,,
,City of Newburgh,"28,624",386,1,16,134,235,"1,080",264,750,66,,,
,City of Middletown,"26,137",177,2,13,94,68,946,129,781,36,,,
,Total area actually reporting,97.9%,"1,821",16,100,604,"1,101","12,515","2,107","9,853",555,,,
,Estimated total,100.0%,"1,847",16,101,614,"1,116","12,791","2,149","10,074",568,,,
,"Rate per 100,000 inhabitants",,275.9,2.4,15.1,91.7,166.7,"1,910.4",321.0,"1,504.6",84.8,,,
"Prescott, AZ M.S.A.",,"206,296",,,,,,,,,,,,
,Includes Yavapai County,,,,,,,,,,,,,
,City of Prescott,"41,903",181,3,12,32,134,"1,541",318,"1,133",90,,,
,Total area actually reporting,99.8%,881,10,47,56,768,"5,337","1,112","3,807",418,,,
,Estimated total,100.0%,882,10,47,56,769,"5,352","1,116","3,816",420,,,
,"Rate per 100,000 inhabitants",,427.5,4.8,22.8,27.1,372.8,"2,594.3",541.0,"1,849.8",203.6,,,
"Provo-Orem, UT M.S.A.",,"467,608", ,,,,, ,,,,,,
,Includes Juab and Utah Counties,,,,,,,,,,,,,
,City of Provo ,"117,156",169,2,38,24,105,"2,859",541,"2,121",197,,,
,City of Orem,"92,637",60,1,16,18,25,"2,564",269,"2,152",143,,,
,Total area actually reporting,99.1%,430,3,108,62,257,"11,567","2,153","8,787",627,,,
,Estimated total,100.0%,437,3,109,63,262,"11,680","2,175","8,867",638,,,
,"Rate per 100,000 inhabitants",,93.5,0.6,23.3,13.5,56.0,"2,497.8",465.1,"1,896.2",136.4,,,
"Pueblo, CO M.S.A.",,"154,183",,,,,,,,,,,,
