Table 6,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,
"by Metropolitan Statistical Area, 2012",,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Forcible
rape",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
"Milwaukee-Waukesha-West Allis, WI M.S.A.",,"1,566,214",,,,,,,,,
,"Includes Milwaukee, Ozaukee, Washington, and Waukesha Counties",,,,,,,,,,
,City of Milwaukee,"599,395","7,759",91,230,"3,027","4,411","30,228","6,977","18,448","4,803"
,City of Waukesha,"71,049",107,1,26,24,56,"1,304",233,"1,039",32
,City of West Allis,"60,870",191,0,11,97,83,"2,918",552,"2,234",132
,Total area actually reporting,97.3%,"8,962",107,321,"3,432","5,102","51,366","9,903","36,083","5,380"
,Estimated total,100.0%,"9,015",108,326,"3,446","5,135","52,377","10,040","36,932","5,405"
,"Rate per 100,000 inhabitants",,575.6,6.9,20.8,220.0,327.9,"3,344.2",641.0,"2,358.0",345.1
"Minneapolis-St. Paul-Bloomington, MN-WI M.S.A.3, 4",,"3,408,532",,,,,,,,,
,"Includes Anoka, Carver, Chisago, Dakota, Hennepin, Isanti, Le Sueur, Mille Lacs, Ramsey, Scott, Sherburne, Sibley, Washington, and Wright Counties, MN4 and Pierce and St. Croix Counties, WI",,,,,,,,,,
,"City of Minneapolis, MN","390,240","3,872",39,403,"1,719","1,711","19,359","4,782","12,760","1,817"
,"City of St. Paul, MN","290,700","2,101",13,168,658,"1,262","11,893","3,150","6,938","1,805"
,"City of Bloomington, MN4","84,596",,0,,59,63,"3,212",227,"2,908",77
,"City of Plymouth, MN4","72,020",,0,,14,19,"1,198",258,909,31
,"City of Eagan, MN4","65,180",,0,,11,15,"1,526",181,"1,301",44
,"City of Eden Prairie, MN4","62,052",,0,,3,11,963,107,836,20
,Total area actually reporting,99.9%,,76,,"3,083","4,818",,,"71,575","6,599"
,Estimated total,100.0%,,76,,"3,084","4,820",,,"71,629","6,601"
,"Rate per 100,000 inhabitants",,,2.2,,90.5,141.4,,,"2,101.5",193.7
"Missoula, MT M.S.A.",,"110,904", ,,,,, ,,,
,Includes Missoula County,,,,,,,,,,
,City of Missoula,"67,758",221,0,25,33,163,"3,041",378,"2,558",105
,Total area actually reporting,100.0%,321,0,41,38,242,"3,616",461,"3,009",146
,"Rate per 100,000 inhabitants",,289.4,0.0,37.0,34.3,218.2,"3,260.5",415.7,"2,713.2",131.6
"Mobile, AL M.S.A.5",,"414,233", ,,,,, ,,,
,Includes Mobile County,,,,,,,,,,
,City of Mobile5,"251,516","1,314",32,45,460,777,"12,103","2,796","8,755",552
,Total area actually reporting,100.0%,"2,287",46,87,661,"1,493","17,807","4,458","12,315","1,034"
,"Rate per 100,000 inhabitants",,552.1,11.1,21.0,159.6,360.4,"4,298.8","1,076.2","2,973.0",249.6
"Modesto, CA M.S.A.",,"523,330", ,,,,, ,,,
,Includes Stanislaus County,,,,,,,,,,
,City of Modesto,"204,631","1,590",20,59,450,"1,061","11,276","2,571","6,906","1,799"
,Total area actually reporting,100.0%,"2,875",38,129,788,"1,920","22,061","5,551","12,425","4,085"
,"Rate per 100,000 inhabitants",,549.4,7.3,24.6,150.6,366.9,"4,215.5","1,060.7","2,374.2",780.6
"Monroe, LA M.S.A.",,"178,701", ,,,,, ,,,
,Includes Ouachita and Union Parishes,,,,,,,,,,
,City of Monroe,"49,474",490,5,18,137,330,"3,775","1,172","2,525",78
,Total area actually reporting,96.2%,786,11,30,177,568,"7,833","2,233","5,410",190
,Estimated total,100.0%,814,11,32,182,589,"8,104","2,283","5,622",199
,"Rate per 100,000 inhabitants",,455.5,6.2,17.9,101.8,329.6,"4,534.9","1,277.6","3,146.0",111.4
"Monroe, MI M.S.A.",,"151,670", ,,,,, ,,,
,Includes Monroe County,,,,,,,,,,
,City of Monroe,"20,687",108,1,10,25,72,831,234,560,37
,Total area actually reporting,94.4%,396,5,67,92,232,"3,867","1,043","2,594",230
,Estimated total,100.0%,421,5,70,98,248,"4,080","1,088","2,746",246
,"Rate per 100,000 inhabitants",,277.6,3.3,46.2,64.6,163.5,"2,690.1",717.3,"1,810.5",162.2
"Montgomery, AL M.S.A.",,"380,129", ,,,,, ,,,
,"Includes Autauga, Elmore, Lowndes, and Montgomery Counties",,,,,,,,,,
,City of Montgomery,"209,018",827,44,41,459,283,"12,058","3,409","7,548","1,101"
,Total area actually reporting,99.3%,"1,328",53,86,551,638,"16,794","4,876","10,554","1,364"
,Estimated total,100.0%,"1,341",53,87,554,647,"16,908","4,903","10,635","1,370"
,"Rate per 100,000 inhabitants",,352.8,13.9,22.9,145.7,170.2,"4,448.0","1,289.8","2,797.7",360.4
"Morgantown, WV M.S.A.",,"132,255", ,,,,, ,,,
,Includes Monongalia and Preston Counties,,,,,,,,,,
,City of Morgantown,"30,294",107,1,4,26,76,823,175,632,16
,Total area actually reporting,93.8%,358,3,28,44,283,"2,276",472,"1,703",101
,Estimated total,100.0%,381,3,30,48,300,"2,553",519,"1,925",109
,"Rate per 100,000 inhabitants",,288.1,2.3,22.7,36.3,226.8,"1,930.4",392.4,"1,455.5",82.4
"Morristown, TN M.S.A.",,"115,676", ,,,,, ,,,
,Includes Hamblen and Jefferson Counties,,,,,,,,,,
,City of Morristown,"29,617",203,0,13,45,145,"1,798",191,"1,522",85
,Total area actually reporting,100.0%,455,3,29,85,338,"3,898",799,"2,917",182
,"Rate per 100,000 inhabitants",,393.3,2.6,25.1,73.5,292.2,"3,369.8",690.7,"2,521.7",157.3
"Mount Vernon-Anacortes, WA M.S.A.",,"119,267",,,,,,,,,
,Includes Skagit County,, ,,,,,,,,
,City of Mount Vernon,"32,384",79,1,13,21,44,"1,552",315,"1,155",82
,City of Anacortes,"16,097",16,0,1,2,13,577,157,386,34
,Total area actually reporting,100.0%,232,2,38,46,146,"5,008","1,275","3,478",255
,"Rate per 100,000 inhabitants",,194.5,1.7,31.9,38.6,122.4,"4,199.0","1,069.0","2,916.1",213.8
"Muncie, IN M.S.A.",,"118,029", ,,,,, ,,,
,Includes Delaware County,,,,,,,,,,
,City of Muncie,"70,300",258,1,9,99,149,"2,934",690,"2,041",203
,Total area actually reporting,100.0%,308,1,11,104,192,"3,776",914,"2,630",232
,"Rate per 100,000 inhabitants",,261.0,0.8,9.3,88.1,162.7,"3,199.2",774.4,"2,228.3",196.6
"Napa, CA M.S.A.",,"139,368", ,,,,, ,,,
,Includes Napa County,,,,,,,,,,
,City of Napa,"78,589",216,2,17,39,158,"1,643",349,"1,073",221
,Total area actually reporting,100.0%,485,2,30,71,382,"2,863",658,"1,895",310
,"Rate per 100,000 inhabitants",,348.0,1.4,21.5,50.9,274.1,"2,054.3",472.1,"1,359.7",222.4
"Naples-Immokalee-Marco Island, FL M.S.A.",,"332,611",,,,,,,,,
,Includes Collier County,, ,,,,,,,,
,City of Naples,"20,211",32,0,1,5,26,537,96,431,10
,City of Marco Island,"16,985",12,0,1,0,11,216,36,178,2
,Total area actually reporting,100.0%,829,6,41,151,631,"5,531","1,356","3,932",243
,"Rate per 100,000 inhabitants",,249.2,1.8,12.3,45.4,189.7,"1,662.9",407.7,"1,182.2",73.1
"Nashville-Davidson--Murfreesboro--Franklin, TN M.S.A.",,"1,712,682",,,,,,,,,
,"Includes Cannon, Cheatham, Davidson, Dickson, Hickman, Macon, Maury, Robertson, Rutherford, Smith, Sumner, Trousdale, Williamson, and Wilson Counties ",,,,,,,,,,
,City of Nashville,"620,886","7,550",62,311,"1,724","5,453","26,052","5,736","18,885","1,431"
,City of Murfreesboro,"112,247",701,3,55,134,509,"4,006",923,"2,899",184
,City of Franklin,"64,848",93,1,11,11,70,"1,033",90,902,41
,Total area actually reporting,100.0%,"11,405",87,566,"2,184","8,568","50,076","10,975","36,505","2,596"
,"Rate per 100,000 inhabitants",,665.9,5.1,33.0,127.5,500.3,"2,923.8",640.8,"2,131.5",151.6
"New Bern, NC M.S.A.",,"129,271",,,,,,,,,
,"Includes Craven, Jones, and Pamlico Counties",, ,,,,,,,,
,City of New Bern,"30,195",163,3,10,36,114,"1,861",745,"1,066",50
,Total area actually reporting,92.2%,359,3,26,66,264,"4,517","1,974","2,392",151
,Estimated total,100.0%,376,3,27,69,277,"4,738","2,054","2,523",161
,"Rate per 100,000 inhabitants",,290.9,2.3,20.9,53.4,214.3,"3,665.2","1,588.9","1,951.7",124.5
"New Haven-Milford, CT M.S.A.",,"809,772",,,,,,,,,
,Includes New Haven County,, ,,,,,,,,
,City of New Haven,"129,934","1,870",17,55,844,954,"6,516","1,451","4,351",714
,City of Milford,"52,817",46,0,2,33,11,"1,586",150,"1,371",65
,Total area actually reporting,100.0%,"3,352",33,134,"1,349","1,836","24,254","4,188","17,972","2,094"
,"Rate per 100,000 inhabitants",,413.9,4.1,16.5,166.6,226.7,"2,995.2",517.2,"2,219.4",258.6
"New Orleans-Metairie, LA M.S.A.",,"1,220,047",,,,,,,,,
,"Includes Jefferson, Orleans, Plaquemines, St. Bernard, St. Charles, St. James, St. John the Baptist, and St. Tammany Parishes",,,,,,,,,,
,City of New Orleans,"362,874","2,958",193,136,"1,065","1,564","13,689","3,423","8,051","2,215"
,Total area actually reporting,96.8%,"5,774",249,278,"1,699","3,548","38,573","8,540","26,402","3,631"
,Estimated total,100.0%,"5,894",251,285,"1,722","3,636","39,672","8,827","27,168","3,677"
,"Rate per 100,000 inhabitants",,483.1,20.6,23.4,141.1,298.0,"3,251.7",723.5,"2,226.8",301.4
"New York-Newark-Jersey City, NY-NJ-PA M.S.A.1",,"19,791,750",,,,,,,,,
,"Includes the Metropolitan Divisions of Dutchess County-Putnam County, NY; Nassau County-Suffolk County, NY; Newark, NJ-PA; and New York-Jersey City-White Plains, NY-NJ",,,,,,,,,,
,"City of New York, NY1","8,289,415","52,993",419,"1,162","20,201","31,211","142,760","18,635","115,935","8,190"
,"City of Newark, NJ","278,906","3,220",96,55,"1,976","1,093","10,199","2,144","4,093","3,962"
,"City of Jersey City, NJ","251,554","1,847",11,45,880,911,"5,479","1,426","3,291",762
,"City of White Plains, NY","57,567",92,1,3,31,57,"1,386",82,"1,279",25
,"City of New Brunswick, NJ","55,717",382,8,24,216,134,"1,511",557,871,83
,"City of Lakewood Township, NJ","93,742",110,2,1,46,61,"1,103",274,785,44
,Total area actually reporting,99.9%,,748,"2,124","31,768",,"336,211","57,572","254,023","24,616"
,Estimated total,100.0%,,749,"2,132","31,798",,"337,353","57,780","254,913","24,660"
,"Rate per 100,000 inhabitants",,,3.8,10.8,160.7,,"1,704.5",291.9,"1,288.0",124.6
"Dutchess County-Putnam County, NY M.D.1",,"400,079",,,,,,,,,
,Includes Dutchess and Putnam Counties1,,,,,,,,,,
,Total area actually reporting,98.4%,717,5,37,169,506,"5,992","1,084","4,730",178
,Estimated total,100.0%,730,5,38,173,514,"6,119","1,104","4,833",182
,"Rate per 100,000 inhabitants",,182.5,1.2,9.5,43.2,128.5,"1,529.4",275.9,"1,208.0",45.5
"Nassau County-Suffolk County, NY M.D.1",,"2,858,599",,,,,,,,,
,Includes Nassau and Suffolk Counties1,,,,,,,,,,
,Total area actually reporting,99.9%,"4,575",51,124,"1,836","2,564","43,537","7,101","34,253","2,183"
,Estimated total,100.0%,"4,578",51,124,"1,837","2,566","43,566","7,106","34,276","2,184"
,"Rate per 100,000 inhabitants",,160.1,1.8,4.3,64.3,89.8,"1,524.0",248.6,"1,199.0",76.4
"Newark, NJ-PA M.D.",,"2,489,919",,,,,,,,,
,"Includes Essex, Hunterdon, Morris, Somerset, Sussex, and Union Counties, NJ and Pike County, PA",,,,,,,,,,
,Total area actually reporting,100.0%,"7,860",162,281,"4,152","3,265","46,566","10,743","27,611","8,212"
,"Rate per 100,000 inhabitants",,315.7,6.5,11.3,166.8,131.1,"1,870.2",431.5,"1,108.9",329.8
"New York-Jersey City-White Plains, NY-NJ M.D.1, 3",,"14,043,153",,,,,,,,,
,"Includes Bergen, Hudson, Middlesex, Monmouth, Ocean, and Passaic Counties, NJ and Bronx, Kings, New York, Orange, Queens, Richmond, Rockland, and Westchester Counties, NY1",,,,,,,,,,
,Total area actually reporting,99.5%,,530,"1,682","25,611",,"240,116","38,644","187,429","14,043"
,Estimated total,100.0%,,531,"1,689","25,636",,"241,102","38,827","188,193","14,082"
,"Rate per 100,000 inhabitants",,,3.8,12.0,182.6,,"1,716.9",276.5,"1,340.1",100.3
"North Port-Sarasota-Bradenton, FL M.S.A.",,"719,034",,,,,,,,,
,Includes Manatee and Sarasota Counties,,,,,,,,,,
,City of North Port,"58,568",130,2,20,12,96,"1,074",278,770,26
,City of Sarasota,"53,055",425,4,25,136,260,"2,897",705,"2,093",99
,City of Bradenton,"50,878",341,4,23,94,220,"2,026",511,"1,440",75
,City of Venice,"21,182",40,0,3,6,31,418,99,308,11
,Total area actually reporting,100.0%,"3,241",43,212,676,"2,310","21,843","5,461","15,600",782
,"Rate per 100,000 inhabitants",,450.7,6.0,29.5,94.0,321.3,"3,037.8",759.5,"2,169.6",108.8
"Norwich-New London, CT M.S.A.",,"146,391",,,,,,,,,
,Includes New London County,,,,,,,,,,
,City of Norwich,"40,517",99,1,18,35,45,963,274,639,50
,City of New London,"27,643",366,3,10,45,308,764,183,515,66
,Total area actually reporting,100.0%,594,5,44,99,446,"3,461",670,"2,617",174
,"Rate per 100,000 inhabitants",,405.8,3.4,30.1,67.6,304.7,"2,364.2",457.7,"1,787.7",118.9
"Ocala, FL M.S.A.",,"337,066",,,,,,,,,
,Includes Marion County,, ,,,,, ,,,
,City of Ocala,"57,288",375,6,42,92,235,"3,097",606,"2,431",60
,Total area actually reporting,100.0%,"1,616",21,166,162,"1,267","7,311","1,989","5,080",242
,"Rate per 100,000 inhabitants",,479.4,6.2,49.2,48.1,375.9,"2,169.0",590.1,"1,507.1",71.8
"Ocean City, NJ M.S.A. ",,"97,077",,,,,,,,,
,Includes Cape May County,, ,,,,, ,,,
,City of Ocean City,"11,676",15,0,1,1,13,478,88,388,2
,Total area actually reporting,100.0%,254,2,12,53,187,"4,411","1,054","3,273",84
,"Rate per 100,000 inhabitants",,261.6,2.1,12.4,54.6,192.6,"4,543.8","1,085.7","3,371.6",86.5
"Odessa, TX M.S.A.",,"142,209",,,,,,,,,
,Includes Ector County,, ,,,,, ,,,
,City of Odessa,"103,635","1,103",5,43,141,914,"3,717",770,"2,565",382
,Total area actually reporting,100.0%,"1,168",5,44,163,956,"5,177","1,090","3,571",516
,"Rate per 100,000 inhabitants",,821.3,3.5,30.9,114.6,672.2,"3,640.4",766.5,"2,511.1",362.8
"Ogden-Clearfield, UT M.S.A.",,"614,396",,,,,,,,,
,"Includes Box Elder, Davis, Morgan, and Weber Counties",,,,,,,,,,
,City of Ogden,"85,083",353,2,25,96,230,"4,001",734,"3,051",216
,City of Clearfield,"31,032",51,0,9,6,36,735,92,626,17
,Total area actually reporting,99.5%,856,4,186,146,520,"14,813","2,444","11,716",653
,Estimated total,100.0%,861,4,187,147,523,"14,902","2,457","11,787",658
,"Rate per 100,000 inhabitants",,140.1,0.7,30.4,23.9,85.1,"2,425.5",399.9,"1,918.5",107.1
"Oklahoma City, OK M.S.A.",,"1,285,907",,,,,,,,,
,"Includes Canadian, Cleveland, Grady, Lincoln, Logan, McClain, and Oklahoma Counties",, ,,,,, ,,,
,City of Oklahoma City,"595,607","5,474",85,389,"1,209","3,791","35,390","9,854","21,162","4,374"
,Total area actually reporting,100.0%,"7,054",103,596,"1,479","4,876","56,160","14,924","35,430","5,806"
,"Rate per 100,000 inhabitants",,548.6,8.0,46.3,115.0,379.2,"4,367.3","1,160.6","2,755.3",451.5
"Olympia-Tumwater, WA M.S.A.",,"259,107",,,,,,,,,
,Includes Thurston County,, ,,,,, ,,,
,City of Olympia ,"47,729",150,5,45,37,63,"2,085",468,"1,504",113
,City of Tumwater,"17,844",46,0,11,9,26,627,158,440,29
,Total area actually reporting,100.0%,552,10,98,89,355,"7,590","2,137","5,013",440
,"Rate per 100,000 inhabitants",,213.0,3.9,37.8,34.3,137.0,"2,929.3",824.8,"1,934.7",169.8
"Omaha-Council Bluffs, NE-IA M.S.A.",,"882,865",,,,,,,,,
,"Includes Harrison, Mills, and Pottawattamie Counties, IA and Cass, Douglas, Sarpy, Saunders, and Washington Counties, NE",,,,,,,,,,
,"City of Omaha, NE","417,970","2,485",41,187,815,"1,442","19,178","3,311","13,120","2,747"
,"City of Council Bluffs, IA ","62,708",744,1,67,81,595,"4,290",970,"2,847",473
,Total area actually reporting,98.5%,"3,585",43,333,938,"2,271","29,578","5,459","20,348","3,771"
,Estimated total,100.0%,"3,594",43,335,939,"2,277","29,742","5,496","20,464","3,782"
,"Rate per 100,000 inhabitants",,407.1,4.9,37.9,106.4,257.9,"3,368.8",622.5,"2,317.9",428.4
"Orlando-Kissimmee-Sanford, FL M.S.A.",,"2,200,987",,,,,,,,,
,"Includes Lake, Orange, Osceola, and Seminole Counties",, ,,,,, ,,,
,City of Orlando,"246,513","2,508",24,103,603,"1,778","16,304","3,778","11,222","1,304"
,City of Kissimmee,"62,183",563,2,34,121,406,"3,112",822,"2,150",140
,City of Sanford,"54,662",323,3,21,166,133,"2,964",822,"1,986",156
,Total area actually reporting,100.0%,"12,019",109,676,"2,673","8,561","76,705","21,316","50,130","5,259"
,"Rate per 100,000 inhabitants",,546.1,5.0,30.7,121.4,389.0,"3,485.0",968.5,"2,277.6",238.9
"Oshkosh-Neenah, WI M.S.A.",,"168,129",,,,,,,,,
,Includes Winnebago County,,,,,,,,,,
,City of Oshkosh,"66,514",191,0,13,18,160,"1,722",340,"1,345",37
,City of Neenah,"25,681",35,0,2,2,31,495,76,404,15
,Total area actually reporting,100.0%,321,0,28,24,269,"3,386",675,"2,621",90
,"Rate per 100,000 inhabitants",,190.9,0.0,16.7,14.3,160.0,"2,013.9",401.5,"1,558.9",53.5
"Owensboro, KY M.S.A.",,"115,625",,,,,,,,,
,"Includes Daviess, Hancock, and McLean Counties",, ,,,,, ,,,
,City of Owensboro,"57,751",125,0,28,45,52,"2,518",469,"1,928",121
,Total area actually reporting,99.3%,144,0,32,47,65,"3,113",633,"2,334",146
,Estimated total,100.0%,146,0,32,48,66,"3,139",639,"2,353",147
,"Rate per 100,000 inhabitants",,126.3,0.0,27.7,41.5,57.1,"2,714.8",552.6,"2,035.0",127.1
"Oxnard-Thousand Oaks-Ventura, CA M.S.A.",,"839,484",,,,,,,,,
,Includes Ventura County,,,,,,,,,,
,City of Oxnard,"201,797",603,9,8,304,282,"4,071",848,"2,677",546
,City of Thousand Oaks,"129,171",157,0,23,46,88,"1,838",278,"1,470",90
,City of Ventura,"108,511",310,1,24,140,145,"3,885",778,"2,825",282
,City of Camarillo,"66,506",61,0,5,21,35,955,139,767,49
,Total area actually reporting,100.0%,"1,664",21,100,617,926,"15,921","3,113","11,404","1,404"
,"Rate per 100,000 inhabitants",,198.2,2.5,11.9,73.5,110.3,"1,896.5",370.8,"1,358.5",167.2
"Palm Bay-Melbourne-Titusville, FL M.S.A.",,"550,983",,,,,,,,,
,Includes Brevard County,,,,,,,,,,
,City of Palm Bay,"104,635",553,3,19,78,453,"2,457",719,"1,601",137
,City of Melbourne,"77,133",658,6,48,133,471,"3,374",648,"2,607",119
,City of Titusville,"44,374",294,4,26,77,187,"1,765",519,"1,001",245
,Total area actually reporting,100.0%,"2,963",30,199,505,"2,229","16,659","3,945","11,867",847
,"Rate per 100,000 inhabitants",,537.8,5.4,36.1,91.7,404.5,"3,023.5",716.0,"2,153.8",153.7
"Panama City, FL M.S.A.",,"188,234",,,,,,,,,
,Includes Bay and Gulf Counties,,,,,,,,,,
,City of Panama City,"37,187",285,3,9,75,198,"2,307",434,"1,743",130
,Total area actually reporting,100.0%,939,10,74,173,682,"7,658","1,683","5,672",303
,"Rate per 100,000 inhabitants",,498.8,5.3,39.3,91.9,362.3,"4,068.3",894.1,"3,013.3",161.0
"Parkersburg-Vienna, WV M.S.A.",,"92,884",,,,,,,,,
,Includes Wirt and Wood Counties,, ,,,,, ,,,
,City of Parkersburg,"31,558",146,1,17,22,106,"1,698",433,"1,199",66
,City of Vienna,"10,770",13,0,1,3,9,294,19,271,4
,Total area actually reporting,96.9%,305,1,29,33,242,"2,602",639,"1,846",117
,Estimated total,100.0%,313,1,30,34,248,"2,701",656,"1,925",120
,"Rate per 100,000 inhabitants",,337.0,1.1,32.3,36.6,267.0,"2,907.9",706.3,"2,072.5",129.2
"Pensacola-Ferry Pass-Brent, FL M.S.A.",,"459,402",,,,,,,,,
,Includes Escambia and Santa Rosa Counties,,,,,,,,,,
,City of Pensacola,"52,909",473,7,30,89,347,"3,032",711,"2,201",120
,Total area actually reporting,100.0%,"2,687",22,187,529,"1,949","16,745","4,496","11,469",780
,"Rate per 100,000 inhabitants",,584.9,4.8,40.7,115.1,424.2,"3,645.0",978.7,"2,496.5",169.8
"Peoria, IL M.S.A.",,"379,733",,,,,,,,,
,"Includes Marshall, Peoria, Stark, Tazewell, and Woodford Counties",, ,,,,, ,,,
,City of Peoria,"115,288",919,10,25,324,560,"5,022","1,420","3,370",232
,Total area actually reporting,92.4%,"1,497",17,90,385,"1,005","9,750","2,597","6,795",358
,Estimated total,100.0%,"1,562",18,97,403,"1,044","10,379","2,721","7,273",385
,"Rate per 100,000 inhabitants",,411.3,4.7,25.5,106.1,274.9,"2,733.2",716.6,"1,915.3",101.4
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD M.S.A.1, 6",,"6,012,363",,,,,,,,,
,"Includes the Metropolitan Divisions of Camden, NJ; Montgomery County-Bucks County-Chester County, PA; Philadelphia, PA; and Wilmington, DE-MD-NJ",,,,,,,,,,
,"City of Philadelphia, PA","1,538,957","17,853",331,880,"7,984","8,658","56,997","12,004","38,592","6,401"
,"City of Camden, NJ","77,665","1,993",67,74,755,"1,097","4,007","1,089","2,214",704
,"City of Wilmington, DE","72,088","1,228",26,34,474,694,"3,824","1,212","2,247",365
,Total area actually reporting,99.9%,,517,"1,667","12,651",,"160,263","33,846","114,487","11,930"
,Estimated total,100.0%,,517,"1,667","12,651",,"160,273","33,848","114,494","11,931"
,"Rate per 100,000 inhabitants",,,8.6,27.7,210.4,,"2,665.7",563.0,"1,904.3",198.4
"Camden, NJ M.D.",,"1,258,086",,,,,,,,,
,"Includes Burlington, Camden, and Gloucester Counties",,,,,,,,,,
,Total area actually reporting,99.9%,"4,263",80,231,"1,596","2,356","32,329","7,691","22,595","2,043"
,Estimated total,100.0%,"4,264",80,231,"1,596","2,357","32,339","7,693","22,602","2,044"
,"Rate per 100,000 inhabitants",,338.9,6.4,18.4,126.9,187.3,"2,570.5",611.5,"1,796.5",162.5
"Montgomery County-Bucks County-Chester County, PA M.D.",,"1,892,483",,,,,,,,,
,"Includes Bucks, Chester, and Montgomery Counties",,,,,,,,,,
,Total area actually reporting,100.0%,"2,800",26,289,875,"1,610","33,268","5,620","26,478","1,170"
,"Rate per 100,000 inhabitants",,148.0,1.4,15.3,46.2,85.1,"1,757.9",297.0,"1,399.1",61.8
"Philadelphia, PA M.D.1, 6",,"2,144,972",,,,,,,,,
,Includes Delaware and Philadelphia Counties,,,,,,,,,,
,Total area actually reporting,100.0%,,361,972,"8,851",,"71,230","14,542","49,637","7,051"
,"Rate per 100,000 inhabitants",,,16.8,45.3,412.6,,"3,320.8",678.0,"2,314.1",328.7
"Wilmington, DE-MD-NJ M.D.",,"716,822",,,,,,,,,
,"Includes New Castle County, DE; Cecil County, MD; and Salem County, NJ",,,,,,,,,,
,Total area actually reporting,100.0%,"3,905",50,175,"1,329","2,351","23,436","5,993","15,777","1,666"
,"Rate per 100,000 inhabitants",,544.8,7.0,24.4,185.4,328.0,"3,269.4",836.1,"2,201.0",232.4
"Phoenix-Mesa-Scottsdale, AZ M.S.A.1, 2",,"4,309,766",,,,,,,,,
,Includes Maricopa and Pinal2 Counties,,,,,,,,,,
,City of Phoenix,"1,485,509","9,458",123,556,"3,516","5,263","60,777","17,912","35,678","7,187"
,City of Mesa,"451,391","1,804",14,172,469,"1,149","14,140","2,681","10,572",887
,City of Scottsdale,"223,432",329,3,42,115,169,"6,047","1,255","4,551",241
,City of Tempe,"166,061",878,11,44,253,570,"7,824","1,250","6,085",489
,Total area actually reporting,99.9%,"17,521",228,"1,187","5,485","10,621",,"35,307","98,322",
,Estimated total,100.0%,"17,534",228,"1,188","5,488","10,630",,"35,341","98,449",
,"Rate per 100,000 inhabitants",,406.8,5.3,27.6,127.3,246.6,,820.0,"2,284.3",
"Pine Bluff, AR M.S.A.",,"99,299",,,,,,,,,
,"Includes Cleveland, Jefferson, and Lincoln Counties",,,,,,,,,,
,City of Pine Bluff ,"48,522",625,14,32,135,444,"3,312","1,124","2,008",180
,Total area actually reporting,100.0%,725,14,45,143,523,"4,218","1,544","2,406",268
,"Rate per 100,000 inhabitants",,730.1,14.1,45.3,144.0,526.7,"4,247.8","1,554.9","2,423.0",269.9
"Pittsburgh, PA M.S.A.6",,"2,363,571", ,,,,, ,,,
,"Includes Allegheny, Armstrong, Beaver, Butler, Fayette, Washington, and Westmoreland Counties",,,,,,,,,,
,City of Pittsburgh ,"312,112","2,347",41,47,"1,134","1,125","10,691","2,537","7,610",544
,Total area actually reporting,98.7%,,99,355,"2,108",,"44,323","9,321","33,216","1,786"
,Estimated total,100.0%,,100,359,"2,125",,"44,920","9,420","33,694","1,806"
,"Rate per 100,000 inhabitants",,,4.2,15.2,89.9,,"1,900.5",398.5,"1,425.6",76.4
"Pittsfield, MA M.S.A.",,"131,619", ,,,,, ,,,
,Includes Berkshire County,,,,,,,,,,
,City of Pittsfield,"44,868",191,0,34,38,119,"1,166",372,751,43
,Total area actually reporting,94.3%,434,0,66,55,313,"2,903",900,"1,900",103
,Estimated total,100.0%,458,0,68,60,330,"3,049",935,"2,002",112
,"Rate per 100,000 inhabitants",,348.0,0.0,51.7,45.6,250.7,"2,316.5",710.4,"1,521.1",85.1
"Pocatello, ID M.S.A.",,"84,258", ,,,,, ,,,
,Includes Bannock County,,,,,,,,,,
,City of Pocatello ,"55,166",141,1,10,22,108,"1,502",262,"1,192",48
,Total area actually reporting,100.0%,195,3,14,25,153,"2,155",328,"1,761",66
,"Rate per 100,000 inhabitants",,231.4,3.6,16.6,29.7,181.6,"2,557.6",389.3,"2,090.0",78.3
"Portland-South Portland, ME M.S.A.",,"516,198",,,,,,,,,
,"Includes Cumberland, Sagadahoc, and York Counties",, ,,,,,,,,
,City of Portland,"66,413",173,1,33,82,57,"2,632",411,"2,139",82
,City of South Portland,"25,087",49,0,3,11,35,966,108,847,11
,Total area actually reporting,100.0%,686,7,137,197,345,"12,713","2,499","9,846",368
,"Rate per 100,000 inhabitants",,132.9,1.4,26.5,38.2,66.8,"2,462.8",484.1,"1,907.4",71.3
"Portland-Vancouver-Hillsboro, OR-WA M.S.A.",,"2,279,873",,,,,,,,,
,"Includes Clackamas, Columbia, Multnomah, Washington, and Yamhill Counties, OR and Clark and Skamania Counties, WA",,,,,,,,,,
,"City of Portland, OR","598,037","3,093",20,231,950,"1,892","30,454","4,471","22,398","3,585"
,"City of Vancouver, WA","166,375",592,5,72,172,343,"6,478","1,044","4,343","1,091"
,"City of Hillsboro, OR","94,119",180,2,34,52,92,"2,154",323,"1,716",115
,"City of Beaverton, OR","92,276",141,0,21,36,84,"1,471",196,"1,165",110
,Total area actually reporting,100.0%,"6,076",54,724,"1,780","3,518","72,141","12,057","52,421","7,663"
,"Rate per 100,000 inhabitants",,266.5,2.4,31.8,78.1,154.3,"3,164.3",528.8,"2,299.3",336.1
"Port St. Lucie, FL M.S.A.",,"433,712",,,,,,,,,
